1.0182 0.55 0.967303 
1.9778 0.55 0.967303 
1.9477 0.55 0.967303 
1.8949 0.6 0.98839 
2.0143 0.514048 0.954298 
2.0991 0.55 0.967303 
1.9868 0.514048 0.954298 
1.8166 0.55 0.967303 
1.8812 0.45 0.930502 
1.8353 0.6 0.98839 
1.8416 0.514048 0.954298 
1.9552 0.55 0.967303 
1.8142 0.55 0.967303 
2.0338 0.35 0.892911 
1.7996 0.55 0.967303 
1.9847 0.55 0.967303 
2.1736 0.45 0.930502 
2.0291 0.514048 0.954298 
1.9674 0.55 0.967303 
2.1761 0.45 0.930502 
1.898 0.4 0.911707 
1.996 0.55 0.967303 
1.9182 0.5 0.949298 
2.0894 0.45 0.930502 
1.8759 0.45 0.930502 
1.9466 0.55 0.967303 
2.0455 0.45 0.930502 
2.0501 0.45 0.930502 
2.2966 0.35 0.892911 
1.8821 0.5 0.949298 
1.8037 0.45 0.930502 
1.9923 0.55 0.967303 
2.0807 0.4 0.911707 
1.9781 0.55 0.967303 
1.957 0.55 0.967303 
1.9088 0.45 0.930502 
2.0376 0.55 0.967303 
1.7093 0.55 0.967303 
1.8823 0.45 0.930502 
1.8675 0.514048 0.954298 
2.2349 0.45 0.930502 
1.7253 0.6 0.98839 
2.1097 0.45 0.930502 
1.8054 0.55 0.967303 
1.7628 0.5 0.949298 
2.0156 0.55 0.967303 
2.2575 0.514048 0.954298 
2.0535 0.55 0.967303 
1.8616 0.5 0.949298 
1.869 0.6 0.98839 
2.0116 0.55 0.967303 
2.0619 0.35 0.892911 
2.2074 0.35 0.892911 
1.9531 0.514048 0.954298 
1.9179 0.45 0.930502 
1.773 0.514048 0.954298 
1.8749 0.6 0.98839 
1.801 0.55 0.967303 
2.0675 0.55 0.967303 
1.989 0.55 0.967303 
1.7723 0.55 0.967303 
1.8615 0.45 0.930502 
1.7993 0.514048 0.954298 
1.8126 0.514048 0.954298 
1.8976 0.514048 0.954298 
1.8159 0.45 0.930502 
2.0099 0.514048 0.954298 
2.0557 0.45 0.930502 
2.0598 0.45 0.930502 
2.1833 0.5 0.949298 
1.8927 0.4 0.911707 
1.9477 0.5 0.949298 
1.821 0.45 0.930502 
1.7165 0.6 0.98839 
1.8427 0.55 0.967303 
1.9637 0.4 0.911707 
1.9105 0.514048 0.954298 
2.053 0.55 0.967303 
1.9576 0.55 0.967303 
1.9379 0.55 0.967303 
2.1673 0.4 0.911707 
2.0616 0.4 0.911707 
2.2151 0.45 0.930502 
1.975 0.45 0.930502 
1.9827 0.45 0.930502 
1.9575 0.514048 0.954298 
2.1693 0.55 0.967303 
1.9172 0.4 0.911707 
1.8062 0.55 0.967303 
1.88 0.55 0.967303 
1.9513 0.45 0.930502 
2.3284 0.55 0.967303 
2.2071 0.514048 0.954298 
1.8125 0.514048 0.954298 
2.0096 0.4 0.911707 
1.9305 0.55 0.967303 
1.8394 0.6 0.98839 
2.0388 0.5 0.949298 
2.1696 0.45 0.930502 
2.0255 0.55 0.967303 
1.9498 0.45 0.930502 
1.8324 0.6 0.98839 
2.1254 0.65 1.01048 
2.1186 0.55 0.967303 
1.948 0.45 0.930502 
1.9017 0.45 0.930502 
1.8352 0.514048 0.954298 
2.0891 0.55 0.967303 
1.817 0.65 1.01048 
1.896 0.514048 0.954298 
2.0499 0.55 0.967303 
2.0091 0.6 0.98839 
2.1558 0.514048 0.954298 
2.0008 0.55 0.967303 
1.7563 0.5 0.949298 
2.0045 0.5 0.949298 
1.9401 0.514048 0.954298 
2.1076 0.55 0.967303 
1.8451 0.6 0.98839 
2.3823 0.5 0.949298 
1.9435 0.6 0.98839 
2.1242 0.45 0.930502 
2.1803 0.514048 0.954298 
1.7667 0.514048 0.954298 
2.4055 0.45 0.930502 
1.9327 0.55 0.967303 
1.9811 0.35 0.892911 
1.8699 0.55 0.967303 
2.0535 0.514048 0.954298 
1.701 0.65 1.01048 
2.1008 0.45 0.930502 
1.8312 0.5 0.949298 
2.1535 0.45 0.930502 
1.941 0.4 0.911707 
2.0095 0.55 0.967303 
1.8599 0.514048 0.954298 
2.167 0.4 0.911707 
2.1726 0.5 0.949298 
2.2159 0.5 0.949298 
2.1133 0.514048 0.954298 
1.9814 0.514048 0.954298 
2.2254 0.45 0.930502 
1.8289 0.5 0.949298 
1.8816 0.55 0.967303 
2.0009 0.4 0.911707 
1.7347 0.6 0.98839 
1.8741 0.55 0.967303 
1.8387 0.65 1.01048 
1.9104 0.514048 0.954298 
2.0248 0.514048 0.954298 
2.0102 0.4 0.911707 
2.1364 0.514048 0.954298 
2.0564 0.514048 0.954298 
1.9771 0.65 1.01048 
1.9334 0.55 0.967303 
1.8421 0.55 0.967303 
1.768 0.55 0.967303 
2.1377 0.45 0.930502 
2.234 0.5 0.949298 
1.8055 0.6 0.98839 
2.0417 0.514048 0.954298 
2.0231 0.55 0.967303 
1.8518 0.55 0.967303 
